,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
117,181,0.1683912543676158,229.62,0,39,23,0,0.05522904708089131,30,0,428400,38006953,1,0,1
118,8622,0.04199725692761625,2251.12,1,93,24,0,0.10368451742511677,99,0,432000,5587703,0,0,1
119,9690,0.03628569390724091,1935.09,1,19,14,3,0.05522904708089131,39,0,432000,51335444,1,0,1
120,2220,0.033978544292029005,1640.73,1,39,105,22,0.10368451742511677,15,0,432000,39257357,0,0,1
121,4305,0.038769773552322126,198.81,0,27,9,1,0.03974253825599634,15,0,428400,13292324,1,0,1
122,7526,0.04293878629041362,3857.42,1,52,12,93,0.10053406573106269,55,0,432000,44832705,1,0,1
123,3286,0.11363413482779383,709.93,1,51,17,0,0.10368451742511677,25,0,432000,1,1,0,1
124,37,0.1683912543676158,863.38,1,11,33,8,0.10368451742511677,143,0,432000,10441871,1,0,1
125,1492,0.05418237426560898,1555.0,1,51,40,2,0.05588363965877438,44,0,432000,63675074,1,0,1
126,4502,0.021473186549744994,130.0,1,88,13,7,0.01493679010947343,27,0,432000,32583439,1,0,1
127,9753,0.010742169757465912,1537.35,1,24,55,0,0.10368451742511677,87,0,432000,77,1,0,1
128,1045,0.3341370579743934,37592.1,0,43,15,0,0.39589527721215384,9,1,432000,556,1,0,1
129,145,0.1683912543676158,40.0,1,32,4,19,0.10368451742511677,21,0,432000,79373256,1,1,0
130,108,0.8613472937129808,150.0,1,30,1,11,0.10368451742511677,0,1,428400,26401427,0,0,1
131,1529,0.48060895832945877,4664.85,1,48,1,0,0.10053406573106269,4,1,432000,492,1,0,1
132,7782,0.024276536344951093,4282.0,1,31,13,6,0.10368451742511677,41,0,432000,37077093,1,0,1
133,2430,0.027933357366640345,110.83,1,38,5,32,0.10053406573106269,0,0,432000,19258485,1,0,1
134,175,0.12817596232927234,1271.0,1,42,14,1153,0.09109302936837313,65,0,432000,72587587,1,0,1
135,11885,0.025050786471955567,809.0,1,68,24,84,0.07098355244692371,79,0,432000,125693821,1,1,0
136,2375,0.1355816623056071,44.18,1,27,2,0,0.10368451742511677,10,0,432000,1988383,1,1,0
137,3366,0.08245239405031017,18.0,1,47,1,1,0.011175872821018899,70,0,432000,12920859,1,0,1
138,7941,0.03840429915025117,174.04,0,41,27,33,0.10053406573106269,64,0,432000,26009166,1,0,1
139,21743,0.02120547442977546,2244.12,1,70,32,0,0.10368451742511677,29,0,432000,58145198,1,0,1
140,108,0.8613472937129808,450.0,1,31,3,21,0.10368451742511677,1,1,432000,28339403,0,0,1
141,672,0.1422902571953333,3626.18,1,38,38,2,0.04402924186091594,116,0,432000,6436129,1,0,1
142,792,0.022162082746013438,297.1,1,22,18,2,0.01673478242636056,42,0,432000,60992346,0,1,0
143,3935,0.054070475931485375,2010.0,1,68,13,0,0.10368451742511677,83,0,432000,3033591,1,1,0
144,331,0.06595818275209592,598.06,1,30,2,0,0.10368451742511677,5,1,432000,1,1,0,1
145,13593,0.01977664767986481,1700.0,1,78,6,26,0.06655962519319175,189,0,432000,50573070,1,0,1
146,8301,0.08074993301706838,176.72,1,57,5,4,0.05712021963797808,16,0,432000,6669354,1,0,1
147,2302,0.09884354876648443,65.22,1,39,2,2,0.10053406573106269,28,0,432000,82334,1,0,1
148,803,0.17677662325520097,2693.56,1,86,24,7,0.12842894273071617,56,0,432000,49563009,0,0,1
