,acct_type,num_payouts,sale_duration2,fraud_target,is_country_same,ACH
10844,premium,58,21,0,1,1
10845,premium,4,40,0,1,1
10846,premium,0,30,0,1,1
10847,premium,0,29,0,0,0
10848,premium,0,21,0,0,0
10849,tos_lock,0,25,0,0,1
10850,premium,1,45,0,1,1
10851,premium,63,39,0,1,1
10852,fraudster_event,0,2,1,1,1
10853,fraudster_event,0,1,1,0,1
10854,premium,166,10,0,1,1
10855,premium,0,8,0,0,1
10856,premium,1,40,0,1,1
10857,fraudster_event,0,1,1,0,0
10858,premium,0,35,0,1,1
10859,premium,72,17,0,1,1
10860,premium,0,19,0,1,1
10861,premium,0,40,0,1,0
10862,premium,30,25,0,1,1
10863,premium,0,39,0,1,1
10864,premium,1,35,0,1,0
10865,premium,0,59,0,1,0
10866,premium,24,53,0,1,1
10867,fraudster_event,0,7,1,1,0
10868,premium,0,46,0,1,1
10869,premium,0,18,0,0,1
10870,premium,85,15,0,1,1
10871,premium,0,134,0,0,1
10872,spammer_limited,23,100,0,1,0
10873,premium,1,124,0,1,0
10874,premium,0,22,0,1,0
10875,spammer_limited,15,13,0,1,1
10876,premium,1,43,0,0,0
10877,premium,0,40,0,0,1
10878,premium,13,15,0,1,0
10879,premium,32,71,0,1,0
10880,premium,1,45,0,0,1
10881,premium,48,134,0,1,1
10882,premium,2,7,0,1,1
10883,premium,0,0,0,0,1
10884,premium,6,135,0,1,1
10885,premium,1,35,0,1,1
10886,premium,33,28,0,1,1
10887,premium,60,34,0,0,1
10888,premium,0,39,0,1,1
10889,premium,145,127,0,1,1
10890,premium,3,122,0,1,1
10891,premium,0,30,0,1,1
10892,premium,0,12,0,1,1
10893,premium,12,40,0,1,1
10894,premium,0,23,0,1,1
10895,premium,0,25,0,0,0
10896,premium,0,19,0,1,1
10897,premium,0,30,0,1,0
10898,premium,1,11,0,1,1
10899,fraudster_event,0,5,1,1,1
10900,premium,116,30,0,1,1
10901,premium,17,61,0,1,1
10902,premium,26,37,0,1,1
10903,premium,9,27,0,1,1
10904,premium,0,79,0,1,0
10905,premium,18,33,0,1,1
10906,premium,7,58,0,1,1
10907,premium,5,70,0,1,0
10908,spammer_warn,0,19,0,1,0
10909,premium,12,33,0,1,1
10910,premium,1,47,0,1,1
10911,premium,5,1,0,0,1
10912,premium,0,32,0,1,1
10913,premium,0,60,0,1,1
10914,premium,3,23,0,1,1
10915,premium,6,5,0,1,1
10916,premium,2,29,0,1,1
10917,premium,0,116,0,0,0
10918,fraudster_event,0,44,1,1,1
10919,premium,3,10,0,1,1
10920,premium,0,15,0,1,1
10921,premium,0,25,0,1,1
10922,premium,1,6,0,1,1
10923,premium,0,51,0,1,0
10924,premium,1,72,0,1,1
10925,premium,7,58,0,1,1
10926,premium,73,18,0,0,1
10927,premium,0,33,0,1,1
10928,premium,351,4,0,1,1
10929,premium,6,88,0,1,1
10930,premium,0,3,0,1,1
10931,premium,0,17,0,1,1
10932,fraudster_event,0,4,1,0,0
10933,premium,0,90,0,1,1
10934,premium,1,0,0,1,0
10935,premium,0,16,0,1,0
10936,premium,0,17,0,1,1
10937,premium,0,37,0,1,1
10938,premium,9,33,0,1,1
10939,premium,2,79,0,1,0
10940,premium,2,7,0,1,1
10941,premium,2,10,0,1,0
10942,premium,0,38,0,1,0
10943,premium,1,28,0,1,1
10944,premium,3,5,0,1,1
10945,premium,7,53,0,1,1
10946,premium,14,62,0,0,1
10947,premium,4,14,0,1,1
10948,premium,1,48,0,1,0
10949,fraudster_event,0,3,1,0,1
10950,premium,1,24,0,0,1
10951,premium,19,33,0,0,1
10952,fraudster_event,0,7,1,0,1
10953,premium,0,59,0,1,1
10954,premium,0,31,0,1,1
10955,premium,0,35,0,0,1
10956,premium,1,15,0,1,1
10957,premium,0,19,0,1,1
10958,premium,261,2,0,1,1
10959,premium,0,59,0,1,1
10960,premium,0,63,0,1,1
10961,premium,60,12,0,0,1
10962,premium,0,13,0,1,1
10963,premium,0,63,0,1,1
10964,premium,42,11,0,1,1
10965,premium,3,57,0,1,1
10966,premium,3,35,0,0,1
10967,premium,58,36,0,1,0
10968,premium,8,34,0,1,1
10969,premium,192,13,0,1,1
10970,premium,0,47,0,1,0
10971,premium,0,9,0,1,1
10972,premium,3,9,0,1,1
10973,spammer_limited,26,28,0,1,1
10974,fraudster_event,0,2,1,0,0
10975,premium,5,31,0,1,1
10976,premium,3,8,0,1,1
10977,premium,3,6,0,1,1
10978,premium,0,23,0,1,0
10979,premium,1,34,0,1,1
10980,premium,0,27,0,1,1
10981,premium,0,10,0,1,1
10982,premium,0,37,0,1,1
10983,premium,0,17,0,1,1
10984,premium,0,35,0,1,0
10985,premium,3,27,0,1,1
10986,fraudster_event,0,6,1,0,0
10987,premium,50,10,0,1,1
10988,premium,4,29,0,1,0
10989,fraudster_event,0,0,1,1,1
10990,premium,1,12,0,1,1
10991,premium,71,96,0,0,1
10992,premium,19,18,0,1,1
10993,premium,10,19,0,1,0
10994,premium,7,15,0,1,0
10995,fraudster_event,0,40,1,0,0
10996,fraudster_event,0,40,1,0,0
10997,fraudster_event,0,4,1,1,1
10998,premium,2,10,0,1,1
10999,fraudster_event,0,4,1,1,0
11000,premium,0,47,0,1,0
11001,premium,158,78,0,1,0
11002,premium,0,58,0,1,1
11003,premium,23,86,0,1,1
11004,premium,2,125,0,1,1
11005,premium,1,30,0,1,0
11006,premium,3,67,0,1,0
11007,spammer_noinvite,0,16,0,1,0
11008,premium,11,27,0,0,0
11009,premium,535,59,0,1,1
11010,premium,1,9,0,1,0
11011,premium,1,162,0,1,0
11012,premium,13,15,0,1,0
11013,fraudster,0,10,1,1,1
11014,premium,2,24,0,0,1
11015,premium,0,69,0,1,1
11016,premium,0,17,0,1,0
11017,premium,0,23,0,1,0
11018,premium,0,64,0,1,0
11019,premium,4,47,0,1,1
11020,premium,0,13,0,1,0
11021,premium,0,19,0,1,1
11022,premium,0,10,0,1,1
11023,premium,0,26,0,1,0
11024,premium,0,24,0,1,1
11025,premium,0,16,0,1,0
11026,premium,0,173,0,1,0
11027,locked,83,82,0,1,1
11028,premium,0,39,0,1,0
11029,premium,0,22,0,1,0
11030,premium,0,407,0,1,0
11031,premium,5,64,0,1,1
11032,premium,0,44,0,1,0
11033,premium,2,1,0,0,1
11034,premium,0,37,0,1,1
11035,premium,1,26,0,1,0
11036,premium,0,19,0,1,1
11037,premium,5,33,0,1,0
11038,premium,0,26,0,1,1
11039,premium,12,19,0,1,1
11040,fraudster,0,5,1,1,1
11041,premium,3,56,0,1,1
11042,premium,0,29,0,1,0
11043,tos_lock,138,75,0,1,1
11044,premium,0,50,0,1,1
11045,fraudster,0,0,1,1,1
11046,premium,9,114,0,1,0
11047,premium,4,28,0,0,1
11048,premium,3,157,0,1,1
11049,premium,0,7,0,0,1
11050,premium,1,23,0,0,1
11051,premium,27,7,0,1,1
11052,premium,0,20,0,1,1
11053,premium,14,43,0,1,1
11054,premium,7,102,0,1,1
11055,premium,0,83,0,1,0
11056,premium,0,25,0,1,0
