,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
3496,fraudster_event,0,0.0,1,0,0,0,40,1,432000,False,0,0,0
3497,premium,1000,24.56,1,37,4,2,9,0,432000,False,1,0,1
3498,premium,5865,308.5,0,34,1,1,7,0,432000,False,1,0,1
3499,fraudster_event,0,5283.21,1,14,14,0,2,1,432000,False,1,0,1
3500,premium,18959,32500.0,0,90,27,2,105,0,432000,False,1,1,0
3501,premium,1102,57.7,1,55,5,0,19,0,432000,False,1,0,1
3502,premium,321,274500.0,1,28,405,6,180,0,432000,False,1,0,1
3503,fraudster,3937,696.0,1,40,3,0,136,1,432000,False,0,0,1
3504,premium,0,2161.27,0,40,24,2,69,0,432000,False,1,0,1
3505,premium,1599,10.0,1,22,1,0,117,0,432000,True,1,0,1
3506,premium,1203,309.86,1,149,14,21,41,0,432000,False,0,1,0
3507,premium,10225,1200.0,1,35,2,23,35,0,432000,False,0,1,0
3508,premium,924,237.4,1,52,11,0,25,0,432000,True,1,0,1
3509,premium,914,236.75,1,53,5,0,19,0,432000,False,1,0,1
3510,premium,2298,4461.31,1,29,88,0,50,0,432000,False,1,1,0
3511,spammer_limited,14113,2364.83,1,75,120,4,38,0,428400,False,1,0,1
3512,premium,5927,482.31,1,75,12,9,48,0,432000,False,1,0,1
3513,premium,1584,640.0,1,38,32,5,19,0,432000,False,1,0,1
3514,fraudster,4076,50.87,0,44,1,7,94,1,432000,False,1,0,1
3515,premium,180,3277.94,1,51,118,28,63,0,432000,False,1,1,0
3516,premium,2204,65.0,1,26,5,12,14,0,432000,False,1,0,1
3517,premium,8939,20772.23,1,45,85,101,83,0,432000,False,0,1,0
3518,premium,3361,225.0,1,26,5,11,22,0,428400,False,1,1,0
3519,premium,9875,1350.0,1,38,73,2,36,0,432000,False,1,1,0
3520,premium,54095,1204.28,1,29,26,118,109,0,432000,False,0,0,1
3521,fraudster,1969,1509.95,0,40,1,5,1,1,432000,False,1,0,1
3522,premium,3835,300.0,1,25,33,7,15,0,428400,False,1,1,0
3523,premium,2741,7575.67,1,41,9,5,57,0,432000,False,1,0,1
3524,premium,3224,1370.59,1,56,11,0,6,0,432000,False,1,0,1
3525,premium,2943,2109.48,1,14,13,0,37,0,432000,False,1,1,0
3526,premium,20,1678.24,1,67,18,2,38,0,432000,False,1,1,0
3527,premium,1318,80.78,1,27,4,11,78,0,432000,False,1,1,0
3528,premium,918,253.88,1,22,19,0,17,0,432000,False,0,0,1
3529,premium,3750,1250.0,1,23,42,0,31,0,432000,False,1,1,0
3530,locked,2595,717.53,0,26,11,0,9,0,432000,False,1,0,1
3531,spammer_warn,5994,950.0,1,36,10,3,53,0,432000,False,1,1,0
3532,premium,4244,9366.29,1,39,90,3,80,0,432000,True,0,0,1
3533,fraudster,0,168.35,1,6,5,0,1,1,432000,False,0,0,1
3534,premium,505,1049.9,1,27,1,0,12,0,432000,False,1,0,1
3535,premium,423,134.48,1,42,4,3,15,0,432000,False,1,0,1
3536,premium,5282,3694.64,1,64,61,0,36,0,432000,False,1,0,1
3537,premium,2816,84.53,1,59,1,10,121,0,432000,False,1,0,1
3538,premium,1780,85.57,1,74,1,11,149,0,435600,False,1,0,1
3539,premium,657,1632.27,0,31,37,0,30,0,432000,False,1,0,1
